index,time,student_id,venue_id,meal_type_id,stress_level
155,2013-05-07 11:56:48,1,7,3,
74,2013-05-07 20:14:03,1,2,1,1.0
156,2013-05-07 20:14:03,1,2,1,
75,2013-05-08 12:20:12,1,5,4,1.0
157,2013-05-08 12:20:12,1,5,4,
76,2013-05-08 17:26:10,1,7,1,1.0
158,2013-05-08 17:26:10,1,7,1,
77,2013-05-09 13:12:14,1,2,4,1.0
159,2013-05-09 13:12:14,1,2,4,
78,2013-05-09 15:05:58,1,2,4,1.0
160,2013-05-09 15:05:58,1,2,4,
79,2013-05-09 17:29:15,1,4,3,1.0
161,2013-05-09 17:29:15,1,4,3,
80,2013-05-09 17:49:21,1,2,3,1.0
162,2013-05-09 17:49:21,1,2,3,
81,2013-05-09 20:15:15,1,2,1,1.0
163,2013-05-09 20:15:15,1,2,1,
